DATASET,VARIANT1,VARIANT2,VARIANT3,VARIANT4,VARIANT5
786_0,0.704373,0.686312,0.694867,0.702471,0.706274
A498,0.721264,0.708812,0.700192,0.717433,0.692529
A549_ATCC,0.667857,0.691964,0.681250,0.667857,0.669643
ACHN,0.703494,0.680831,0.701605,0.702550,0.697828
BT_549,0.704682,0.685474,0.669868,0.678271,0.689076
CAKI_1,0.671322,0.605214,0.679702,0.683426,0.681564
CCRF_CEM,0.697318,0.691571,0.706897,0.706897,0.718391
COLO_205,0.722781,0.693504,0.680695,0.688015,0.696249
DLD_1,0.691257,0.691257,0.693989,0.691257,0.691257
DMS_114,0.737265,0.742627,0.745308,0.742627,0.756032
DMS_273,0.700565,0.700565,0.709040,0.703390,0.700565
DU_145,0.694224,0.681767,0.704417,0.693092,0.708947
EKVX,0.689312,0.672101,0.668478,0.677536,0.661232
HCC_2998,0.664218,0.662120,0.657922,0.664218,0.673662
HCT_116,0.695613,0.689346,0.693823,0.689346,0.699194
HCT_15,0.663986,0.649687,0.680071,0.692583,0.675603
HL_60_TB,0.732283,0.715551,0.733268,0.717520,0.726378
HOP_18,0.724359,0.724359,0.724359,0.743590,0.724359
HOP_62,0.660846,0.662684,0.666360,0.685662,0.666360
HOP_92,0.700285,0.692674,0.701237,0.678402,0.698382
HS_578T,0.693380,0.679443,0.698026,0.652729,0.678281
HT29,0.705301,0.676550,0.708895,0.676550,0.671159
IGROV1,0.694670,0.669377,0.679313,0.689250,0.698284
K_562,0.719816,0.726267,0.704147,0.716129,0.708756
KM12,0.723672,0.686769,0.713771,0.722772,0.703870
KM20L2,0.716253,0.716253,0.719008,0.724518,0.763085
LOX_IMVI,0.694727,0.688252,0.711378,0.703053,0.685476
LXFL_529,0.648649,0.648649,0.648649,0.648649,0.648649
M14,0.673239,0.631925,0.650704,0.705164,0.686385
M19_MEL,0.700000,0.700000,0.700000,0.700000,0.700000
MALME_3M,0.689163,0.683460,0.700570,0.708175,0.720532
MCF7,0.685307,0.677632,0.672149,0.658991,0.653509
MDA_MB_231_ATCC,0.639140,0.708145,0.684389,0.702489,0.687783
MDA_MB_435,0.683445,0.674497,0.694631,0.680089,0.702461
MDA_N,0.691441,0.684685,0.704955,0.685811,0.697072
MOLT_4,0.732075,0.699057,0.697170,0.716038,0.705660
NCI_ADR_RES,0.685959,0.682744,0.669882,0.690247,0.672026
NCI_H226,0.673725,0.678537,0.658325,0.667950,0.677575
NCI_H23,0.678315,0.702509,0.689964,0.717742,0.716846
NCI_H322M,0.654020,0.681120,0.651310,0.665763,0.627823
NCI_H460,0.703704,0.715741,0.712037,0.710185,0.730556
NCI_H522,0.730410,0.683769,0.713619,0.722948,0.724813
OVCAR_3,0.707317,0.703704,0.686540,0.721771,0.724481
OVCAR_4,0.651769,0.685289,0.677840,0.673184,0.673184
OVCAR_5,0.655767,0.658492,0.634877,0.666667,0.620345
OVCAR_8,0.673250,0.667864,0.684919,0.686715,0.685817
P388_AB,0.935252,0.935252,0.935252,0.935252,0.935252
P388_ADR,0.911765,0.897059,0.919118,0.919118,0.919118
PC_3,0.661074,0.676734,0.677852,0.668904,0.702461
RPMI_8226,0.702526,0.702526,0.709074,0.694107,0.699719
RXF_393,0.700000,0.691176,0.703922,0.709804,0.694118
RXF_631,0.658291,0.658291,0.658291,0.658291,0.658291
SF_268,0.697133,0.702509,0.716846,0.716846,0.705197
SF_295,0.693678,0.691006,0.673197,0.654497,0.677649
SF_539,0.703448,0.662069,0.695567,0.687685,0.701478
SK_MEL_2,0.685185,0.674074,0.682407,0.668519,0.687037
SK_MEL_28,0.685765,0.686661,0.692032,0.687556,0.700985
SK_MEL_5,0.686878,0.702262,0.683258,0.691403,0.688688
SK_OV_3,0.674596,0.688868,0.656518,0.666032,0.659372
SN12C,0.682971,0.675725,0.686594,0.684783,0.655797
SN12K1,0.871429,0.864286,0.871429,0.871429,0.871429
SNB_19,0.698299,0.693823,0.683975,0.695613,0.675022
SNB_75,0.705826,0.693410,0.726839,0.675263,0.719198
SNB_78,0.707386,0.707386,0.707386,0.707386,0.698864
SR,0.741685,0.731707,0.737251,0.756098,0.735033
SW_620,0.643872,0.662522,0.699822,0.675844,0.674067
T_47D,0.725086,0.648339,0.702176,0.728522,0.722795
TK_10,0.702006,0.652340,0.676218,0.675263,0.680038
U251,0.696270,0.713144,0.689165,0.700710,0.666963
UACC_257,0.690217,0.673913,0.678442,0.691123,0.661232
UACC_62,0.685973,0.706787,0.684163,0.689593,0.680543
UO_31,0.629151,0.689114,0.662362,0.679889,0.690037
XF_498,0.707317,0.707317,0.707317,0.707317,0.707317
