DATASET,VARIANT1,VARIANT2,VARIANT3,VARIANT4,VARIANT5
786_0,0.703422,0.670152,0.686312,0.686312,0.702471
A498,0.677203,0.685824,0.682950,0.699234,0.702107
A549_ATCC,0.695536,0.700000,0.716071,0.709821,0.680357
ACHN,0.708215,0.702550,0.691218,0.708215,0.705382
BT_549,0.695078,0.690276,0.660264,0.709484,0.703481
CAKI_1,0.639665,0.666667,0.659218,0.655493,0.651769
CCRF_CEM,0.698276,0.700192,0.708812,0.700192,0.692529
COLO_205,0.684355,0.716377,0.687100,0.679780,0.664227
DLD_1,0.691257,0.691257,0.691257,0.691257,0.691257
DMS_114,0.731903,0.761394,0.756032,0.756032,0.758713
DMS_273,0.694915,0.677966,0.700565,0.680791,0.683616
DU_145,0.636467,0.667044,0.670442,0.681767,0.644394
EKVX,0.642210,0.635870,0.674819,0.660326,0.681159
HCC_2998,0.667366,0.662120,0.651626,0.549843,0.675761
HCT_116,0.695613,0.713518,0.689346,0.684870,0.683975
HCT_15,0.649687,0.643432,0.664879,0.672029,0.665773
HL_60_TB,0.705709,0.705709,0.732283,0.695866,0.719488
HOP_18,0.724359,0.711538,0.724359,0.724359,0.724359
HOP_62,0.681066,0.664522,0.653493,0.674632,0.661765
HOP_92,0.656518,0.681256,0.655566,0.693625,0.671741
HS_578T,0.672474,0.674797,0.645761,0.673635,0.699187
HT29,0.672956,0.673854,0.688230,0.684636,0.710692
IGROV1,0.671183,0.673893,0.681120,0.651310,0.693767
K_562,0.708756,0.709677,0.691244,0.700461,0.717972
KM12,0.693969,0.711971,0.684968,0.685869,0.722772
KM20L2,0.719008,0.727273,0.719008,0.719008,0.719008
LOX_IMVI,0.679926,0.701203,0.670675,0.711378,0.709528
LXFL_529,0.648649,0.648649,0.648649,0.648649,0.648649
M14,0.674178,0.615962,0.692958,0.660094,0.645070
M19_MEL,0.689189,0.700000,0.691892,0.691892,0.683784
MALME_3M,0.687262,0.678707,0.679658,0.703422,0.702471
MCF7,0.669956,0.657895,0.674342,0.646930,0.682018
MDA_MB_231_ATCC,0.692308,0.671946,0.702489,0.676471,0.666290
MDA_MB_435,0.677852,0.682327,0.649888,0.687919,0.631991
MDA_N,0.629505,0.694820,0.647523,0.712838,0.691441
MOLT_4,0.733019,0.715094,0.721698,0.695283,0.730189
NCI_ADR_RES,0.680600,0.681672,0.681672,0.666667,0.692390
NCI_H226,0.647738,0.647738,0.671800,0.654475,0.671800
NCI_H23,0.697133,0.691756,0.703405,0.653226,0.715950
NCI_H322M,0.652213,0.651310,0.672990,0.673893,0.701897
NCI_H460,0.682407,0.687037,0.686111,0.694444,0.710185
NCI_H522,0.660448,0.707090,0.698694,0.686567,0.670709
OVCAR_3,0.692864,0.706414,0.659440,0.682927,0.713640
OVCAR_4,0.666667,0.670391,0.660149,0.675047,0.670391
OVCAR_5,0.676658,0.676658,0.653951,0.663034,0.680291
OVCAR_8,0.674147,0.671454,0.675943,0.673250,0.686715
P388_AB,0.935252,0.935252,0.935252,0.935252,0.935252
P388_ADR,0.911765,0.919118,0.911765,0.919118,0.911765
PC_3,0.654362,0.655481,0.687919,0.670022,0.631991
RPMI_8226,0.671656,0.717493,0.671656,0.672591,0.684752
RXF_393,0.700000,0.708824,0.671569,0.669608,0.719608
RXF_631,0.658291,0.562814,0.658291,0.658291,0.658291
SF_268,0.705197,0.700717,0.698925,0.681004,0.672043
SF_295,0.696349,0.705254,0.666073,0.687444,0.705254
SF_539,0.689655,0.679803,0.669951,0.650246,0.684729
SK_MEL_2,0.680556,0.684259,0.687963,0.634259,0.659259
SK_MEL_28,0.699194,0.711728,0.699194,0.703671,0.681289
SK_MEL_5,0.677828,0.680543,0.695023,0.689593,0.677828
SK_OV_3,0.665081,0.668887,0.670790,0.666984,0.662226
SN12C,0.668478,0.664855,0.678442,0.682971,0.692029
SN12K1,0.871429,0.871429,0.871429,0.871429,0.871429
SNB_19,0.688451,0.690242,0.651746,0.675918,0.691137
SNB_75,0.697230,0.711557,0.706781,0.702006,0.707736
SNB_78,0.707386,0.707386,0.707386,0.707386,0.707386
SR,0.733925,0.713969,0.717295,0.695122,0.728381
SW_620,0.624334,0.657194,0.683837,0.649201,0.675844
T_47D,0.737686,0.657503,0.702176,0.718213,0.727377
TK_10,0.661891,0.659026,0.683859,0.660936,0.674308
U251,0.698046,0.693606,0.706039,0.678508,0.679396
UACC_257,0.686594,0.685688,0.675725,0.646739,0.688406
UACC_62,0.689593,0.622624,0.678733,0.674208,0.693213
UO_31,0.555351,0.683579,0.691882,0.693727,0.690959
XF_498,0.707317,0.707317,0.707317,0.719512,0.701220
