Dataset,Score
786_0,0.570342205323194
A498,0.56992337164751
A549_ATCC,0.5625
ACHN,0.588290840415486
BT_549,0.569027611044418
CAKI_1,0.553072625698324
CCRF_CEM,0.53639846743295
COLO_205,0.532479414455627
DLD_1,0.540983606557377
DMS_114,0.525469168900804
DMS_273,0.570621468926554
DU_145,0.567383918459796
EKVX,0.5625
HCC_2998,0.528856243441763
HCT_116,0.55863921217547
HCT_15,0.544235924932976
HL_60_TB,0.516732283464567
HOP_18,0.5
HOP_62,0.574448529411765
HOP_92,0.533777354900095
HS_578T,0.569105691056911
HT29,0.557053009883199
IGROV1,0.529358626919603
K_562,0.541935483870968
KM12,0.558955895589559
KM20L2,0.570247933884298
LOX_IMVI,0.577243293246994
LXFL_529,0.606177606177606
M14,0.591549295774648
M19_MEL,0.551351351351351
MALME_3M,0.574144486692015
MCF7,0.544956140350877
MDA_MB_231_ATCC,0.591628959276018
MDA_MB_435,0.595078299776286
MDA_N,0.593468468468468
MOLT_4,0.575471698113208
NCI_ADR_RES,0.588424437299035
NCI_H226,0.589990375360924
NCI_H23,0.567204301075269
NCI_H322M,0.581752484191509
NCI_H460,0.569444444444444
NCI_H522,0.531716417910448
OVCAR_3,0.558265582655827
OVCAR_4,0.564245810055866
OVCAR_5,0.594005449591281
OVCAR_8,0.551166965888689
P388_AB,0.79136690647482
P388_ADR,0.691176470588235
PC_3,0.580536912751678
RPMI_8226,0.550046772684752
RXF_393,0.534313725490196
RXF_631,0.603015075376884
SF_268,0.560931899641577
SF_295,0.530721282279608
SF_539,0.545812807881773
SK_MEL_2,0.590740740740741
SK_MEL_28,0.587287376902417
SK_MEL_5,0.560180995475113
SK_OV_3,0.573739295908658
SN12C,0.568840579710145
SN12K1,0.671428571428571
SNB_19,0.571172784243509
SNB_75,0.497612225405922
SNB_78,0.582386363636364
SR,0.554323725055432
SW_620,0.586145648312611
T_47D,0.525773195876289
TK_10,0.588347659980898
U251,0.544404973357016
UACC_257,0.559782608695652
UACC_62,0.550226244343891
UO_31,0.555350553505535
XF_498,0.576219512195122
