Dataset,Score
786_0,0.659695817490494
A498,0.637931034482759
A549_ATCC,0.644642857142857
ACHN,0.676109537299339
BT_549,0.653061224489796
CAKI_1,0.628491620111732
CCRF_CEM,0.681992337164751
COLO_205,0.633119853613907
DLD_1,0.702185792349727
DMS_114,0.756032171581769
DMS_273,0.680790960451977
DU_145,0.647791619479049
EKVX,0.605978260869565
HCC_2998,0.629590766002099
HCT_116,0.645478961504029
HCT_15,0.627345844504021
HL_60_TB,0.650590551181102
HOP_18,0.698717948717949
HOP_62,0.632352941176471
HOP_92,0.63558515699334
HS_578T,0.664343786295006
HT29,0.618149146451033
IGROV1,0.603432700993677
K_562,0.645161290322581
KM12,0.647164716471647
KM20L2,0.752066115702479
LOX_IMVI,0.666049953746531
LXFL_529,0.687258687258687
M14,0.669483568075117
M19_MEL,0.7
MALME_3M,0.651140684410646
MCF7,0.621710526315789
MDA_MB_231_ATCC,0.626696832579186
MDA_MB_435,0.620805369127517
MDA_N,0.654279279279279
MOLT_4,0.661320754716981
NCI_ADR_RES,0.64951768488746
NCI_H226,0.651588065447546
NCI_H23,0.655017921146953
NCI_H322M,0.619692863595303
NCI_H460,0.675
NCI_H522,0.670708955223881
OVCAR_3,0.626016260162602
OVCAR_4,0.630353817504655
OVCAR_5,0.653042688465032
OVCAR_8,0.633752244165171
P388_AB,0.935251798561151
P388_ADR,0.919117647058823
PC_3,0.656599552572707
RPMI_8226,0.659494855004677
RXF_393,0.643137254901961
RXF_631,0.703517587939699
SF_268,0.646953405017921
SF_295,0.617987533392698
SF_539,0.623645320197044
SK_MEL_2,0.662037037037037
SK_MEL_28,0.64189794091316
SK_MEL_5,0.657918552036199
SK_OV_3,0.63558515699334
SN12C,0.641304347826087
SN12K1,0.871428571428571
SNB_19,0.613249776186213
SNB_75,0.646609360076409
SNB_78,0.6875
SR,0.687361419068736
SW_620,0.634991119005329
T_47D,0.634593356242841
TK_10,0.652340019102197
U251,0.66696269982238
UACC_257,0.641304347826087
UACC_62,0.623529411764706
UO_31,0.636531365313653
XF_498,0.707317073170732
